id,budget,revenue,release_year,original_title,vote_count,keywords
135397,150000000,1513528810,2015,Jurassic World,5562,not_novel
76341,150000000,378436354,2015,Mad Max: Fury Road,6185,not_novel
262500,110000000,295238201,2015,Insurgent,2480,based on novel
140607,200000000,2068178225,2015,Star Wars: The Force Awakens,5292,not_novel
168259,190000000,1506249360,2015,Furious 7,2947,not_novel
281957,135000000,532950503,2015,The Revenant,3929,not_novel
87101,155000000,440603537,2015,Terminator Genisys,2598,not_novel
286217,108000000,595380321,2015,The Martian,4572,based on novel
211672,74000000,1156730962,2015,Minions,2893,not_novel
150540,175000000,853708609,2015,Inside Out,3935,not_novel
206647,245000000,880674609,2015,Spectre,3254,not_novel
76757,176000003,183987723,2015,Jupiter Ascending,1937,not_novel
264660,15000000,36869414,2015,Ex Machina,2854,not_novel
257344,88000000,243637091,2015,Pixels,1575,not_novel
99861,280000000,1405035767,2015,Avengers: Age of Ultron,4304,not_novel
273248,44000000,155760117,2015,The Hateful Eight,2389,not_novel
260346,48000000,325771424,2015,Taken 3,1578,not_novel
102899,130000000,518602163,2015,Ant-Man,3779,not_novel
150689,95000000,542351353,2015,Cinderella,1495,not_novel
131634,160000000,650523427,2015,The Hunger Games: Mockingjay - Part 2,2380,not_novel
158852,190000000,209035668,2015,Tomorrowland,1899,not_novel
307081,30000000,91709827,2015,Southpaw,1386,not_novel
254128,110000000,470490832,2015,San Andreas,2060,not_novel
216015,40000000,569651467,2015,Fifty Shades of Grey,1865,based on novel
318846,28000000,133346506,2015,The Big Short,1545,not_novel
177677,150000000,682330139,2015,Mission: Impossible - Rogue Nation,2349,not_novel
214756,68000000,215863606,2015,Ted 2,1666,not_novel
207703,81000000,403802136,2015,Kingsman: The Secret Service,3833,not_novel
314365,20000000,88346473,2015,Spotlight,1559,not_novel
294254,61000000,311256926,2015,Maze Runner: The Scorch Trials,1849,based on novel
280996,0,29355203,2015,Mr. Holmes,425,not_novel
198184,49000000,102069268,2015,Chappie,1990,not_novel
254470,29000000,287506194,2015,Pitch Perfect 2,1264,not_novel
296098,40000000,162610473,2015,Bridge of Spies,1638,not_novel
257445,58000000,150170815,2015,Goosebumps,600,based on novel
264644,6000000,35401758,2015,Room,1520,based on novel
339527,0,22354572,2015,Solace,474,not_novel
105864,175000000,331926147,2015,The Good Dinosaur,1087,not_novel
241554,50000000,71561644,2015,Run All Night,814,not_novel
167073,11000000,62076141,2015,Brooklyn,754,not_novel
277216,28000000,201634991,2015,Straight Outta Compton,918,not_novel
274854,90000000,140396650,2015,The Last Witch Hunter,879,not_novel
321697,30000000,34441873,2015,Steve Jobs,1035,not_novel
203801,75000000,108145109,2015,The Man from U.N.C.L.E.,1548,not_novel
293863,25000000,42629776,2015,The Age of Adaline,1221,not_novel
325348,10000000,14333790,2015,Hardcore Henry,396,not_novel
228161,135000000,368871007,2015,Home,1060,not_novel
286565,12000000,85512300,2015,Paper Towns,1252,not_novel
265208,30000000,0,2015,Wild Card,481,not_novel
254320,4000000,9064511,2015,The Lobster,638,not_novel
258480,11800000,40272135,2015,Carol,562,not_novel
257211,35000000,194564672,2015,The Intern,1255,not_novel
253412,55000000,203427584,2015,Everest,1172,not_novel
274479,60000000,101134059,2015,Joy,1001,not_novel
257088,105000000,133718711,2015,Point Break,505,not_novel
295964,20000000,36606743,2015,Burnt,631,not_novel
238615,26000000,30523226,2015,Self/less,719,not_novel
210860,60000000,30418560,2015,Mortdecai,696,based on novel
306819,15000000,64191523,2015,The Danish Girl,867,not_novel
201088,70000000,17752940,2015,Blackhat,584,not_novel
273481,30000000,84025816,2015,Sicario,1479,not_novel
166424,120000001,167977596,2015,Fantastic Four,1565,not_novel
310131,3500000,40423945,2015,The Witch,700,not_novel
238713,65000000,235666219,2015,Spy,1840,not_novel
256591,50100000,153962963,2015,Focus,1831,not_novel
249070,35000000,82347656,2015,Hitman: Agent 47,820,not_novel
205775,100000000,93820758,2015,In the Heart of the Sea,805,not_novel
334074,20000000,0,2015,Survivor,280,not_novel
312221,35000000,137935567,2015,Creed,1171,not_novel
271718,35000000,140795793,2015,Trainwreck,849,not_novel
333352,13000000,32848185,2015,Eye in the Sky,265,not_novel
276907,25000000,42972994,2015,Legend,619,not_novel
284289,0,45895,2015,Beyond the Reach,81,not_novel
266647,150000000,128388320,2015,Pan,586,not_novel
347096,0,0,2015,Mythica: The Darkspore,27,not_novel
308369,0,0,2015,Me and Earl and the Dying Girl,569,not_novel
227973,99000000,246233113,2015,The Peanuts Movie,414,not_novel
321741,35000000,48623572,2015,Concussion,500,not_novel
296100,25000000,52395996,2015,The Night Before,363,not_novel
263472,2500000,5214043,2015,Knock Knock,473,not_novel
228205,34000000,63013281,2015,The Longest Ride,711,based on novel
159824,80000000,466183544,2015,Hotel Transylvania 2,919,not_novel
333348,17000000,24000000,2015,Love the Coopers,111,not_novel
285783,35000000,61181942,2015,The Walk,706,not_novel
290764,11000000,1863315,2015,Tracers,326,not_novel
296099,31000000,104384188,2015,Vacation,846,not_novel
243688,35000000,95437994,2015,Poltergeist,589,not_novel
287424,4000000,187112,2015,Maggie,384,not_novel
301875,0,2000000,2015,Equals,135,not_novel
181283,50000000,3324330,2015,Child 44,341,not_novel
328425,5000000,58978653,2015,The Gift,631,not_novel
274167,50000000,240360392,2015,Daddy's Home,568,not_novel
370687,0,0,2015,Mythica: The Necromancer,11,not_novel
307663,10000000,0,2015,Vice,181,not_novel
309809,64000000,97571250,2015,The Little Prince,423,not_novel
258509,0,233755553,2015,Alvin and the Chipmunks: The Road Chip,278,not_novel
298382,11930000,18340000,2015,The Dressmaker,197,based on novel
272693,8500000,43528634,2015,The DUFF,753,not_novel
283445,10000000,52882018,2015,Sinister 2,331,not_novel
256961,30000000,107597242,2015,Paul Blart: Mall Cop 2,422,not_novel
326359,0,0,2015,Frozen Fever,475,not_novel
254302,0,0,2015,High-Rise,161,not_novel
241251,4000000,50163103,2015,The Boy Next Door,810,not_novel
292040,0,0,2015,Spooks: The Greater Good,114,not_novel
188222,30000000,49263404,2015,Entourage,364,not_novel
252838,23000000,79799880,2015,The Wedding Ringer,446,not_novel
273477,15000000,14860766,2015,Scouts Guide to the Zombie Apocalypse,288,not_novel
298312,5000000,98450062,2015,The Visit,729,not_novel
261023,53000000,99775678,2015,Black Mass,848,not_novel
336004,8900000,50136,2015,Heist,233,not_novel
287903,15000000,61548707,2015,Krampus,342,not_novel
182560,20000000,208588,2015,Dark Places,322,not_novel
192141,5000000,54418872,2015,No Escape,519,not_novel
308639,700000,17986781,2015,Dope,448,not_novel
261392,28000000,28208085,2015,American Ultra,695,not_novel
304357,11000000,61619773,2015,Woman in Gold,277,not_novel
297291,0,0,2015,The Scorpion King: The Lost Throne,22,not_novel
266294,30000000,105011053,2015,Sisters,399,not_novel
227719,12000000,32248241,2015,Project Almanac,637,not_novel
86828,0,5189646,2015,Absolutely Anything,199,not_novel
287948,25000000,72629670,2015,The Transporter Refueled,407,not_novel
201085,55000000,74679822,2015,Crimson Peak,819,not_novel
277355,0,0,2015,Everly,169,not_novel
264999,14800000,122413057,2015,Magic Mike XXL,501,not_novel
146301,10000000,78099553,2015,Paranormal Activity: The Ghost Dimension,267,not_novel
223485,0,229094,2015,Slow West,229,not_novel
294016,15000000,8235661,2015,Trumbo,273,not_novel
290751,19500000,32189727,2015,Secret in Their Eyes,202,not_novel
309245,0,2500431,2015,Mistress America,132,not_novel
228165,74000000,311594032,2015,The SpongeBob Movie: Sponge Out of Water,533,not_novel
272878,20000000,43967255,2015,Max,214,not_novel
263109,0,59700000,2015,Shaun the Sheep Movie,340,not_novel
157827,11000000,0,2015,Louder Than Bombs,43,not_novel
321751,0,1702433,2015,A Perfect Day,102,not_novel
266396,40000000,10664749,2015,The Gunman,283,not_novel
277685,1000000,62882090,2015,Unfriended,643,not_novel
268920,35000000,51680201,2015,Hot Pursuit,472,not_novel
280092,10000000,104303851,2015,Insidious: Chapter 3,610,not_novel
193687,0,118483,2015,Z for Zachariah,181,not_novel
300803,0,0,2015,Dragonheart 3: The Sorcerer's Curse,59,not_novel
328589,6000000,41387687,2015,The Lady in the Van,135,based on novel
228066,40000000,34227298,2015,Victor Frankenstein,408,not_novel
378373,0,0,2015,Brothers of the Wind,11,not_novel
291270,8000000,3759286,2015,Anomalisa,259,not_novel
294963,1800000,0,2015,Bone Tomahawk,220,not_novel
241257,0,17671101,2015,Regression,310,not_novel
245698,0,0,2015,Pawn Sacrifice,148,not_novel
353326,0,11472454,2015,The Man Who Knew Infinity,104,not_novel
250124,2000000,1477002,2015,The Diary of a Teenage Girl,186,not_novel
290637,0,0,2015,Pay the Ghost,114,not_novel
244458,0,0,2015,The Voices,371,not_novel
308504,0,3643591,2015,Last Knights,237,not_novel
157843,15000000,0,2015,Queen of the Desert,30,not_novel
