id,budget,revenue,release_year,production_companies
168259,190000000,1506249360,2015,Universal Pictures
87101,155000000,440603537,2015,Paramount Pictures
211672,74000000,1156730962,2015,Universal Pictures
318846,28000000,133346506,2015,Paramount Pictures
177677,150000000,682330139,2015,Paramount Pictures
214756,68000000,215863606,2015,Universal Pictures
254470,29000000,287506194,2015,Universal Pictures
321697,30000000,34441873,2015,Universal Pictures
253412,55000000,203427584,2015,Universal Pictures
201088,70000000,17752940,2015,Universal Pictures
271718,35000000,140795793,2015,Universal Pictures
274167,50000000,240360392,2015,Paramount Pictures
241251,4000000,50163103,2015,Universal Pictures
273477,15000000,14860766,2015,Paramount Pictures
287903,15000000,61548707,2015,Universal Pictures
297291,0,0,2015,Universal Pictures
227719,12000000,32248241,2015,Paramount Pictures
146301,10000000,78099553,2015,Paramount Pictures
228165,74000000,311594032,2015,Paramount Pictures
243938,14000000,12314651,2015,Paramount Pictures
266639,5000000,2333684,2015,Universal Pictures
347754,0,0,2015,Universal Pictures
343934,0,0,2015,Paramount Pictures
157336,165000000,621752480,2014,Paramount Pictures
240832,40000000,463360063,2014,Universal Pictures
98566,125000000,477200000,2014,Paramount Pictures
91314,210000000,245500000,2014,Paramount Pictures
242512,5000000,102529779,2014,Universal Pictures
49017,70000000,215529201,2014,Universal Pictures
238636,9000000,108782847,2014,Universal Pictures
184315,100000000,243400000,2014,Paramount Pictures
86834,125000000,362637473,2014,Paramount Pictures
195589,18000000,268157400,2014,Universal Pictures
168530,25000000,153997819,2014,Universal Pictures
137094,60000000,50549107,2014,Paramount Pictures
226857,20000000,34077920,2014,Universal Pictures
284296,0,25434291,2014,Paramount Pictures
243684,0,461162,2014,Paramount Pictures
227300,0,0,2014,Universal Pictures
284536,25000000,39171130,2014,Paramount Pictures
285423,0,0,2014,Universal Pictures
260535,8000000,0,2014,Universal Pictures
298931,0,0,2014,Universal Pictures
11009,3500000,237113184,1977,Paramount Pictures
11006,0,126737428,1977,Universal Pictures
11590,0,28000000,1977,Universal Pictures
7227,6000000,30000000,1977,Universal Pictures
50374,0,0,1977,Paramount Pictures
38985,22000000,12000000,1977,Paramount Pictures
24655,0,0,1977,Universal Pictures
10670,0,0,1977,Universal Pictures
18196,0,3,1977,Universal Pictures
16869,70000000,319131050,2009,Universal Pictures
13475,150000000,385680446,2009,Paramount Pictures
13183,130000000,185258983,2009,Paramount Pictures
14869,175000000,302469017,2009,Paramount Pictures
16871,30000000,90842646,2009,Universal Pictures
19899,70000000,171844840,2009,Universal Pictures
11322,80000000,214104620,2009,Universal Pictures
16995,60000000,87784194,2009,Universal Pictures
18947,50000000,36348784,2009,Universal Pictures
25643,18000000,36133014,2009,Universal Pictures
8373,150000000,836297228,2009,Paramount Pictures
22897,85000000,219103655,2009,Universal Pictures
18162,100000000,68688831,2009,Universal Pictures
26123,0,0,2009,Universal Pictures
24418,40000000,28169671,2009,Universal Pictures
22947,25000000,163670000,2009,Paramount Pictures
13804,85000000,363164265,2009,Universal Pictures
38842,22000000,0,2009,Paramount Pictures
17336,0,32474120,2009,Paramount Pictures
22824,10000000,42333295,2009,Universal Pictures
16558,78146652,60000000,2009,Universal Pictures
21724,0,0,2009,Paramount Pictures
19724,55000000,0,2009,Paramount Pictures
18480,42000000,0,2009,Universal Pictures
15004,0,0,2009,Paramount Pictures
20352,69000000,543513985,2010,Universal Pictures
11324,80000000,294804195,2010,Paramount Pictures
44264,38000000,252276927,2010,Paramount Pictures
22538,60000000,47664559,2010,Universal Pictures
39451,100000000,310650585,2010,Paramount Pictures
10196,150000000,318502923,2010,Paramount Pictures
31867,32000000,18409891,2010,Universal Pictures
25195,19000000,29922472,2010,Universal Pictures
22972,100000000,94882889,2010,Universal Pictures
37950,44000000,48190704,2010,Universal Pictures
45317,25000000,9190869,2010,Paramount Pictures
32823,40000000,90029656,2010,Universal Pictures
35019,35000000,93246388,2010,Universal Pictures
41436,3000000,177512032,2010,Paramount Pictures
54553,0,0,2010,Universal Pictures
38778,69000000,86387857,2010,Paramount Pictures
7978,150000000,0,2010,Universal Pictures
54551,0,0,2010,Universal Pictures
58496,0,8212430,2010,Universal Pictures
44040,10000000,33583175,2010,Universal Pictures
54559,0,0,2010,Universal Pictures
39440,0,0,2010,Paramount Pictures
564,80000000,415885488,1999,Universal Pictures
2668,100000000,206071502,1999,Paramount Pictures
2105,11000000,235483004,1999,Universal Pictures
9481,73000000,151493655,1999,Universal Pictures
9473,21000000,0,1999,Paramount Pictures
2112,90000000,161626121,1999,Paramount Pictures
4806,70000000,309457509,1999,Paramount Pictures
10398,70000000,177841558,1999,Paramount Pictures
10400,50000000,73956241,1999,Universal Pictures
8649,32000000,0,1999,Paramount Pictures
2275,60000000,149705852,1999,Paramount Pictures
9451,0,0,1999,Paramount Pictures
9423,75000000,14010690,1999,Universal Pictures
1213,40000000,128798265,1999,Paramount Pictures
9824,68000000,29762011,1999,Universal Pictures
13466,0,0,1999,Universal Pictures
10397,25,13,1999,Paramount Pictures
12220,50000000,58900031,1999,Universal Pictures
27653,0,0,1999,Universal Pictures
11353,55000000,0,1999,Universal Pictures
14709,0,0,1999,Paramount Pictures
10219,0,0,1999,Universal Pictures
16162,9000000,34573780,1999,Universal Pictures
10390,50000000,0,1999,Universal Pictures
15256,6000000,6852450,1999,Paramount Pictures
8970,75000000,29000000,1999,Paramount Pictures
22267,38000000,635096,1999,Universal Pictures
17709,70000000,0,1999,Universal Pictures
10482,0,0,1999,Universal Pictures
1734,98000000,433013274,2001,Universal Pictures
1995,115000000,274703340,2001,Paramount Pictures
2770,30000000,287553595,2001,Universal Pictures
853,70000000,96976270,2001,Paramount Pictures
9398,28000000,60780981,2001,Paramount Pictures
1903,68000000,203388341,2001,Paramount Pictures
1535,92000000,143049560,2001,Universal Pictures
2043,60000000,105178561,2001,Paramount Pictures
9896,48000000,85498534,2001,Paramount Pictures
20857,32000000,40222729,2001,Paramount Pictures
11371,68000000,71069884,2001,Paramount Pictures
8386,12000000,31155435,2001,Universal Pictures
16300,0,0,2001,Paramount Pictures
9799,38000000,207283925,2001,Universal Pictures
9740,87000000,351692268,2001,Universal Pictures
11456,75000000,54249294,2001,Paramount Pictures
24478,0,0,2001,Universal Pictures
19366,22000000,0,2001,Universal Pictures
11631,52000000,609841637,2008,Universal Pictures
4922,150000000,333932083,2008,Paramount Pictures
1735,145000000,401128639,2008,Universal Pictures
1724,150000000,163712074,2008,Universal Pictures
11253,85000000,160388063,2008,Universal Pictures
8909,75000000,258270008,2008,Universal Pictures
10483,45000000,73762516,2008,Universal Pictures
7191,25000000,170764026,2008,Paramount Pictures
9870,30000000,105173115,2008,Universal Pictures
8390,0,55447968,2008,Universal Pictures
15373,28000000,92380927,2008,Universal Pictures
13486,0,0,2008,Universal Pictures
8204,90000000,162839667,2008,Paramount Pictures
13971,0,0,2008,Universal Pictures
12177,62000000,41819064,2008,Paramount Pictures
8988,25000000,11207130,2008,Paramount Pictures
8457,40000000,0,2008,Paramount Pictures
12689,1,0,2008,Paramount Pictures
14220,0,6575282,2008,Paramount Pictures
14914,0,0,2008,Universal Pictures
20268,4700000,0,2008,Paramount Pictures
13490,35000000,43650785,2008,Universal Pictures
56292,145000000,694713380,2011,Paramount Pictures
41630,25000000,147780440,2011,Paramount Pictures
17578,130000000,371940071,2011,Paramount Pictures
55721,32500000,288383523,2011,Universal Pictures
37686,50000000,260095987,2011,Paramount Pictures
44896,135000000,245724603,2011,Paramount Pictures
49520,52000000,75450437,2011,Universal Pictures
44826,170000000,185770160,2011,Paramount Pictures
57157,12000000,22939027,2011,Paramount Pictures
38050,50200000,127869379,2011,Universal Pictures
59861,30000000,36160375,2011,Universal Pictures
39513,40000000,97552050,2011,Universal Pictures
58233,45000000,160078586,2011,Universal Pictures
60935,35000000,28128670,2011,Universal Pictures
59108,75000000,152930623,2011,Universal Pictures
38319,49900000,26121638,2011,Universal Pictures
63710,0,0,2011,Universal Pictures
64685,40000000,55247881,2011,Paramount Pictures
50359,63000000,183953723,2011,Universal Pictures
38356,195000000,1123746996,2011,Paramount Pictures
72571,5000000,205703818,2011,Paramount Pictures
48340,30000000,108609310,2011,Universal Pictures
78080,0,0,2011,Universal Pictures
51497,125000000,626137675,2011,Universal Pictures
57353,25000000,0,2011,Universal Pictures
2501,60000000,214034224,2002,Universal Pictures
245,27000000,129000000,2002,Universal Pictures
201,60000000,67312826,2002,Paramount Pictures
590,25000000,108846072,2002,Paramount Pictures
10375,55000000,6416302,2002,Universal Pictures
9334,60000000,165333180,2002,Universal Pictures
4614,68,193,2002,Paramount Pictures
10590,75000000,114660784,2002,Paramount Pictures
9012,5000000,64282312,2002,Paramount Pictures
9027,0,0,2002,Universal Pictures
1537,45000000,94935764,2002,Paramount Pictures
8665,100000000,35168966,2002,Paramount Pictures
9298,0,0,2002,Universal Pictures
9093,35000000,29882645,2002,Paramount Pictures
16077,3000000,0,2002,Universal Pictures
15028,26000000,38793283,2002,Paramount Pictures
11870,15000000,52970014,2002,Universal Pictures
11022,6500000,12633747,2002,Paramount Pictures
17130,12000000,61141030,2002,Paramount Pictures
15992,25000000,10719357,2002,Paramount Pictures
9533,78000000,209196298,2002,Universal Pictures
12771,29000000,16930185,2002,Paramount Pictures
10052,60000000,52322400,2002,Universal Pictures
17187,0,0,2002,Universal Pictures
47354,0,0,2002,Universal Pictures
13440,0,0,2002,Universal Pictures
11857,0,0,2002,Paramount Pictures
14317,35000000,0,2002,Paramount Pictures
12277,25000000,41604473,2002,Universal Pictures
13,55000000,677945399,1994,Paramount Pictures
36593,30000000,51132598,1994,Paramount Pictures
9331,62000000,215887717,1994,Paramount Pictures
306,50000000,119208989,1994,Paramount Pictures
888,46000000,341631208,1994,Universal Pictures
193,38000000,120000000,1994,Paramount Pictures
6280,60000000,37000000,1994,Universal Pictures
8850,25000000,48063435,1994,Universal Pictures
8831,27000000,101646581,1994,Universal Pictures
11667,35000000,99423521,1994,Universal Pictures
2788,11500000,20079850,1994,Universal Pictures
2087,0,0,1994,Universal Pictures
4954,45000000,0,1994,Paramount Pictures
11777,25000000,0,1994,Paramount Pictures
8986,0,18137661,1994,Paramount Pictures
